name,brand,brand_reduce,nose,nose_reduce,launch_year,launch_period,rating_value,rating_value_category,rating_count,rating_count_category,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,launch_period,url,gender_male,gender_unisex,gender_nan,longevity_long lasting,longevity_moderate,longevity_very weak,longevity_weak,longevity_nan,sillage_enormous,sillage_intimate,sillage_strong,sillage_nan,price_feeling_great value,price_feeling_ok,price_feeling_overpriced,price_feeling_way overpriced,price_feeling_nan,launch_period_2000-2005,launch_period_2005-2010,launch_period_2010-2015,launch_period_2015-2020,launch_period_Après 2020,launch_period_Avant 1995,launch_period_nan,"rating_value_category_Excellente ]4.5 , 5]","rating_value_category_Faible ]3.3 , 3.9]","rating_value_category_Moyenne ]3.9 , 4.2]","rating_value_category_Très faible [0 , 3.3]",rating_value_category_nan,rating_count_category_Excellente (>3000 votes],"rating_count_category_Faible ]50 , 200] votes","rating_count_category_Moyenne ]200 , 1000] votes",rating_count_category_Très faible (<50 votes),rating_count_category_nan,accord_aldehydic,accord_almond,accord_amber,accord_animalic,accord_anis,accord_aquatic,accord_aromatic,accord_balsamic,accord_beeswax,accord_camphor,accord_caramel,accord_cherry,accord_cinnamon,accord_citrus,accord_coconut,accord_coffee,accord_conifer,accord_earthy,accord_floral,accord_fresh,accord_fresh spicy,accord_fruity,accord_green,accord_herbal,accord_honey,accord_iris,accord_lactonic,accord_lavender,accord_leather,accord_marine,accord_metallic,accord_mineral,accord_mossy,accord_musky,accord_nutty,accord_oud,accord_ozonic,accord_patchouli,accord_powdery,accord_rose,accord_rum,accord_salty,accord_smoky,accord_soft spicy,accord_sour,accord_sweet,accord_terpenic,accord_tobacco,accord_tropical,accord_tuberose,accord_vanilla,accord_violet,accord_warm spicy,accord_white floral,accord_woody,accord_yellow floral,top_note_African Freesia Petals,top_note_Aldehydes,top_note_Almond,top_note_Angelica,top_note_Apple,top_note_Artemisia,top_note_Banana,top_note_Beeswax,top_note_Bergamot,top_note_Big Strawberry,top_note_Bitter Almond,top_note_Black Cherry,top_note_Black Currant,top_note_Black Pepper,top_note_Blackberry,top_note_Californian Gardenia,top_note_Carambola (Star Fruit),top_note_Cardamom,top_note_Cassis,top_note_Chamomile,top_note_Chestnut,top_note_Cinnamon,top_note_Citruses,top_note_Clary Sage,top_note_Clove,top_note_Cloves,top_note_Coffee,top_note_Coriander,top_note_Cranberry,top_note_Currant buds,top_note_Fennel,top_note_Floral Notes,top_note_Frangipani,top_note_Freesia,top_note_Fruity Notes,top_note_Ginger,top_note_Grapefruit,top_note_Green Accord,top_note_Green Apple,top_note_Green Notes,top_note_Guava,top_note_Iris,top_note_Ivy,top_note_Jasmine,top_note_Juniper,top_note_Kumquat,top_note_Labdanum,top_note_Lavender,top_note_Lemon,top_note_Lime,top_note_Litchi,top_note_Mandarin Orange,top_note_Marigold,top_note_Mineral notes,top_note_Mint,top_note_Myrhh,top_note_Neroli,top_note_Nutmeg,top_note_Orange,top_note_Orange Blossom,top_note_Osmanthus,top_note_Peach,top_note_Pear,top_note_Pepper,top_note_Peppermint,top_note_Pineapple,top_note_Pink Pepper,top_note_Plum,top_note_Pomelo,top_note_Precious Woods,top_note_Priprioca,top_note_Raspberry,top_note_Red Berries,top_note_Red Currant,top_note_Rhubarb,top_note_Rose,top_note_Rosemary,top_note_Rum,top_note_Saffron,top_note_Sea Notes,top_note_Spicy Notes,top_note_Sugar,top_note_Sweet Orange,top_note_Tangerine,top_note_Tea,top_note_Thyme,top_note_Timur,top_note_Tincture of Rose,top_note_Tomato Leaf,top_note_Water Notes,top_note_Watery Notes,top_note_White Flowers,top_note_Wild Strawberry,top_note_Wormwood,top_note_Ylang Ylang,top_note_Yuzu,top_note_plum,middle_note_African Orange Flower,middle_note_Agarwood (Oud),middle_note_Almond Blossom,middle_note_Amber,middle_note_Artemisia,middle_note_Bamboo,middle_note_Basil,middle_note_Birch,middle_note_Black Pepper,middle_note_Black Rose,middle_note_Black Tea,middle_note_Blackberry,middle_note_Bougainvillea,middle_note_Bulgarian Rose,middle_note_Caramel,middle_note_Caraway,middle_note_Cardamom,middle_note_Cashmeran,middle_note_Cassis,middle_note_Cedar,middle_note_Cinnamon,middle_note_Cloves,middle_note_Coriander,middle_note_Cyclamen,middle_note_Cypress,middle_note_Damask Rose,middle_note_Egyptian Jasmine,middle_note_Floral Notes,middle_note_Frangipani,middle_note_Frankincense,middle_note_Freesia,middle_note_Galbanum,middle_note_Gardenia,middle_note_Geranium,middle_note_Hedione,middle_note_Hyacinth,middle_note_Incense,middle_note_Indole,middle_note_Iris,middle_note_Jasmine,middle_note_Jasmine Sambac,middle_note_Juniper Berries,middle_note_Lavender,middle_note_Lemon,middle_note_Lemon Verbena,middle_note_Lilac,middle_note_Lily,middle_note_Lily of the Valley,middle_note_Lily-of-the-Valley,middle_note_Magnolia,middle_note_May Rose,middle_note_Melon,middle_note_Mimosa,middle_note_Mint,middle_note_Musk,middle_note_Neroli,middle_note_Olibanum,middle_note_Orange Blossom,middle_note_Orchid,middle_note_Orris,middle_note_Osmanthus,middle_note_Oud,middle_note_Patchouli,middle_note_Peach,middle_note_Pear,middle_note_Peony,middle_note_Pepper,middle_note_Raspberry,middle_note_Reed,middle_note_Rose,middle_note_Rose Hip,middle_note_Saffron,middle_note_Sage,middle_note_Sandalwood,middle_note_Sea Notes,middle_note_Sea Salt,middle_note_Star Anise,middle_note_Tarragon,middle_note_Tuberose,middle_note_Turkish Rose,middle_note_Vanilla,middle_note_Vetiver,middle_note_Violet,middle_note_Watery Notes,middle_note_Wild Rose,middle_note_Woodsy Notes,middle_note_Woody Notes,middle_note_Ylang-Ylang,base_note_Agarwood (Oud),base_note_Amber,base_note_Amber Xtreme,base_note_Ambergris,base_note_Amberwood,base_note_Ambrette (Musk Mallow),base_note_Ambroxan,base_note_Angelica,base_note_Benzoin,base_note_Black Amber,base_note_Cashmeran,base_note_Cashmere Wood,base_note_Cassis,base_note_Castoreum,base_note_Cedar,base_note_Cocoa,base_note_Eucalyptus,base_note_Guaiac Wood,base_note_Hazelnut,base_note_Immortelle,base_note_Incense,base_note_Labdanum,base_note_Leather,base_note_Madagascar Vanilla,base_note_Moss,base_note_Musk,base_note_Natural Vanilla,base_note_Oakmoss,base_note_Patchouli,base_note_Pine,base_note_Praline,base_note_Sandalwood,base_note_Smoke,base_note_Tonka Bean,base_note_Vanilla,base_note_Vanille,base_note_Vetiver,base_note_Whipped Cream,base_note_White Musk,base_note_Woodsy Notes,base_note_Woody Notes
Gingham Vibrant,Bath & Body Works,Bath & Body Works,Non connu,Non connu,2023.0,Après 2020,4.39,"Elevée ]4.2 , 4.5]",18,Très faible (<50 votes),female,moderate,average,,['Blackberry'],['Violet'],['Vanilla'],Après 2020,https://www.fragrantica.com/perfume/Bath-Body-Works/Gingham-Vibrant-94582.html,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Body Crystal Baccarat,Burberry,Burberry,Michel Almairac,Michel Almairac,2012.0,2010-2015,3.45,"Faible ]3.3 , 3.9]",29,Très faible (<50 votes),,moderate,enormous,,"['Wormwood', 'Peach']","['Rose', 'Sandalwood', 'Iris']","['Vanilla', 'Musk', 'Cashmere Wood', 'Tonka Bean']",2010-2015,https://www.fragrantica.com/perfume/Burberry/Body-Crystal-Baccarat-17021.html,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Cupbearer Gone Swimming,The Dua Brand,The Dua Brand,Non connu,Non connu,2022.0,Après 2020,,,0,,,,,,[],[],[],Après 2020,https://www.fragrantica.com/perfume/The-Dua-Brand/Cupbearer-Gone-Swimming-85458.html,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lalique de Lalique Bacchantes Crystal Flacon,Lalique,Other,Sophia Grojsman,Other,2017.0,2015-2020,3.67,"Faible ]3.3 , 3.9]",9,Très faible (<50 votes),,,,,"['Rose', 'Jasmine', 'Iris', 'Cloves']","['Pear', 'Blackberry', 'Cassis']","['Musk', 'Vanilla', 'Sandalwood']",2015-2020,https://www.fragrantica.com/perfume/Lalique/Lalique-de-Lalique-Bacchantes-Crystal-Flacon-42192.html,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Humor Transforma,Natura,Natura,Emilie Bevierre-Coppermann,Other,2023.0,Après 2020,3.93,"Moyenne ]3.9 , 4.2]",151,"Faible ]50 , 200] votes",unisex,moderate,average,good value,"['Pineapple', 'Grapefruit', 'Watery Notes', 'Timur', 'Bergamot', 'Priprioca', 'Cardamom', 'Lemon', 'Pear']","['Sage', 'Geranium', 'Violet', 'Lavender']","['Cedar', 'Patchouli', 'Moss', 'Praline', 'Amber', 'Musk']",Après 2020,https://www.fragrantica.com/perfume/Natura/Humor-Transforma-81848.html,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Daisy Eau So Fresh Twinkle,Marc Jacobs,Other,Non connu,Non connu,2017.0,2015-2020,3.93,"Moyenne ]3.9 , 4.2]",238,"Moyenne ]200 , 1000] votes",female,moderate,average,ok,['Raspberry'],"['Wild Rose', 'Violet']","['Whipped Cream', 'Cassis']",2015-2020,https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-Eau-So-Fresh-Twinkle-47658.html,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Euphoria Spring Temptation,Calvin Klein,Calvin Klein,Carlos Benaïm,Carlos Benaïm,2009.0,2005-2010,3.83,"Faible ]3.3 , 3.9]",216,"Moyenne ]200 , 1000] votes",,weak,intimate,,"['Pear', 'Guava', 'Water Notes']","['Freesia', 'Lily', 'Violet']","['Amber', 'Musk', 'Sandalwood']",2005-2010,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Spring-Temptation-5460.html,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Elysée Succès,O Boticário,O Boticário,Frank Voelkl,Other,2021.0,Après 2020,4.03,"Moyenne ]3.9 , 4.2]",382,"Moyenne ]200 , 1000] votes",female,long lasting,average,overpriced,"['Bergamot', 'Labdanum', 'Cassis', 'Plum']","['Freesia', 'Lily-of-the-Valley', 'May Rose', 'Peony', 'Black Rose']","['Moss', 'Vanilla', 'Musk', 'Cedar', 'Agarwood (Oud)', 'Patchouli']",Après 2020,https://www.fragrantica.com/perfume/O-Boticario/Elysee-Succes-66821.html,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Les Heures de Cartier: L'Heure Convoiteé II,Cartier,Other,Non connu,Non connu,2011.0,2010-2015,3.88,"Faible ]3.3 , 3.9]",155,"Faible ]50 , 200] votes",female,moderate,average,way overpriced,[],[],[],2010-2015,https://www.fragrantica.com/perfume/Cartier/Les-Heures-de-Cartier-L-Heure-Convoitee-II-14078.html,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr Chache Pistache In An Amazing World,Zara,Zara,Non connu,Non connu,2024.0,Après 2020,4.38,"Elevée ]4.2 , 4.5]",21,Très faible (<50 votes),female,moderate,average,great value,[],[],[],Après 2020,https://www.fragrantica.com/perfume/Zara/Mr-Chache-Pistache-In-An-Amazing-World-100653.html,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimming Pool,Demeter Fragrance,Demeter Fragrance,Non connu,Non connu,,,3.24,"Très faible [0 , 3.3]",55,"Faible ]50 , 200] votes",unisex,very weak,intimate,,[],[],[],,https://www.fragrantica.com/perfume/Demeter-Fragrance/Swimming-Pool-17927.html,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
